id_2v,X1,X2,mid
11188967_t2,-0.162420255,-0.138214846,11188967_t2
11242817_t2,-0.06176401,-0.140114143,11242817_t2
11275441_t1,-0.008387643,-0.000654071,11275441_t1
11275441_t2,-0.01926852,0.018395855,11275441_t2
11287767_t1,0.376113529,-0.250882495,11287767_t1
11287767_t2,0.31976524,-0.248512917,11287767_t2
11294862_t2,0.145243172,0.189211482,11294862_t2
11418230_t1,0.005432557,0.184243887,11418230_t1
11418230_t2,0.000258551,0.162559244,11418230_t2
11486372_t1,0.065535597,0.130477436,11486372_t1
11486372_t2,0.082137867,0.166876774,11486372_t2
11507229_t1,-0.145948309,-0.150320031,11507229_t1
11507229_t2,0.008537766,-0.034384819,11507229_t2
11526341_t2,0.034885168,-0.05711608,11526341_t2
11576479_t1,-0.029655917,-0.149361664,11576479_t1
11608039_t2,0.00123749,-0.0469752,11608039_t2
11715866_t1,0.058915417,-0.013407946,11715866_t1
11715866_t2,0.141711514,0.117616223,11715866_t2
11765695_t1,0.338108146,-0.235506633,11765695_t1
11765695_t2,0.27570018,-0.34247406,11765695_t2
11837804_t1,-0.080957684,0.008183334,11837804_t1
11919084_t1,0.035450496,0.021534598,11919084_t1
11919084_t2,-0.028844087,-0.028696434,11919084_t2
11925792_t1,-0.145577703,0.148789434,11925792_t1
11949935_t1,-0.119861618,-0.121998293,11949935_t1
11971292_t1,0.051134829,0.155528018,11971292_t1
11971292_t2,0.029817356,0.185917884,11971292_t2
11992832_t1,0.093606102,0.036318305,11992832_t1
11992832_t2,0.092649675,0.060173268,11992832_t2
12016910_t2,0.264159075,0.098347474,12016910_t2
12085645_t1,-0.08621267,-0.06651493,12085645_t1
12085645_t2,-0.084565816,-0.173581467,12085645_t2
12112483_t1,-0.180867689,-0.178821696,12112483_t1
12112483_t2,-0.086063173,0.015747274,12112483_t2
12214819_t2,-0.059474951,0.091094449,12214819_t2
12289378_t1,-0.088084184,-0.032549012,12289378_t1
12289378_t2,-0.109216518,-0.206456095,12289378_t2
12293355_t1,-0.138318642,-0.025015601,12293355_t1
12293355_t2,-0.196217917,-0.01902327,12293355_t2
12294978_t1,0.070506615,0.00697693,12294978_t1
